datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,hopStart,hopLimit
2024-12-17 15:52:55.602727,0x433b0b38,27.475874,34.680794,1022.24567,149.9268,58,,,7.0,-20,5,5
2024-12-17 15:52:55.659180,0x433b0b38,27.468159,34.68717,1022.2305,150.19067,57,,,6.75,-20,5,5
2024-12-17 15:53:27.898753,0x433b0b38,27.44759,34.597866,1022.2252,151.79366,52,,,6.25,-19,5,5
2024-12-17 15:54:28.379725,0x433b0b38,27.439875,34.62854,1022.232,151.65877,51,,,5.75,-18,5,5
2024-12-17 15:55:32.362153,0x433b0b38,27.439875,34.581757,1022.1984,151.79366,52,,,7.75,-22,5,4
2024-12-17 15:56:29.072158,0x433b0b38,27.446552,34.518562,1022.1979,153.29341,50,,,6.0,-18,5,5
2024-12-17 15:57:27.660353,0x433b0b38,27.42959,34.578236,1022.20233,151.52412,54,,,6.0,-18,5,5
2024-12-17 15:58:30.293216,0x433b0b38,27.427021,34.60967,1022.2165,151.25555,56,,,5.75,-18,5,5
2024-12-17 15:59:29.950537,0x433b0b38,27.414164,34.603203,1022.1976,151.52412,56,,,6.0,-18,5,5
2024-12-17 16:00:29.095504,0x433b0b38,27.41159,34.533787,1022.20654,151.65877,53,,,6.25,-18,5,5
2024-12-17 16:01:30.956442,0x433b0b38,27.41159,34.55981,1022.2082,152.06416,55,,,7.0,-17,5,5
2024-12-17 16:02:30.196035,0x433b0b38,27.406448,34.56423,1022.1942,152.06416,53,,,6.0,-18,5,5
2024-12-17 16:03:29.601794,0x433b0b38,27.401306,34.549694,1022.1786,151.79366,54,,,5.75,-18,5,5
2024-12-17 16:04:19.509379,0x433aca0c,27.891743,32.747936,1022.6543,232.7081,73,,,5.75,-6,3,3
2024-12-17 16:04:29.021649,0x433b0b38,27.396164,34.554665,1022.19,152.19977,55,,,6.0,-19,5,5
2024-12-17 16:05:30.522627,0x433b0b38,27.38845,34.54978,1022.1797,152.88145,51,,,6.25,-16,5,5
2024-12-17 16:06:30.272105,0x433b0b38,27.396164,34.554733,1022.18317,152.06416,55,,,5.75,-18,5,5
2024-12-17 16:07:33.921199,0x433b0b38,27.396164,34.569283,1022.15967,151.38971,58,,,6.25,-22,5,4
2024-12-17 16:08:31.572778,0x433b0b38,27.375593,34.589203,1022.1542,151.92879,56,,,6.25,-19,5,5
2024-12-17 16:09:29.956015,0x433b0b38,27.373024,34.54569,1022.1597,151.79366,55,,,7.25,-16,5,5
2024-12-17 16:10:31.148244,0x433b0b38,27.370451,34.549156,1022.1419,153.15584,53,,,7.75,-17,5,5
